"group_no","row_no_in_group","display_run_no","run_no","original_run_no","mode","result","attempt","source_file","source_row","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration"
"7","16","11","11","1","social_smac","succeeded","0","experiment_results_v3.csv","67","41.677","394.17","14","60","8","0.022","0.4651"
"7","17","12","12","2","social_smac","aborted","0","experiment_results_v3.csv","68","37.718","97.55","12","15","5","0.133","0.421"
"7","18","12","12","2","social_smac","succeeded","1","experiment_results_v3.csv","69","48.897","160.83","8","10","3","0.082","0.3269"
"7","19","13","13","3","social_smac","timeout","0","experiment_results_v3.csv","70","40.6","450.61","46","52","36","0.049","0.1567"
"7","20","14","14","4","social_smac","succeeded","0","experiment_results_v3.csv","71","42.653","128.29","9","11","4","0.095","0.3627"
"7","21","15","15","5","social_smac","succeeded","0","experiment_results_v3.csv","72","39.748","108.28","5","7","1","0.366","0.2698"
"7","22","16","16","1","social_smac","succeeded","0","experiment_results_v3.csv","91","37.535","95.33","8","13","4","0.158","0.505"
"7","23","17","17","2","social_smac","timeout","0","experiment_results_v3.csv","92","27.077","450.43","65","60","48","0.142","0.1824"
"7","24","18","18","3","social_smac","aborted","0","experiment_results_v3.csv","93","24.705","73.84","9","9","3","0.056","0.5427"
"7","25","18","18","3","social_smac","succeeded","1","experiment_results_v3.csv","94","37.697","99.36","7","10","5","0.09","0.3498"
"7","26","19","19","4","social_smac","aborted","0","experiment_results_v3.csv","95","50.283","236.14","10","18","5","0.026","0.312"
"7","27","19","19","4","social_smac","aborted","1","experiment_results_v3.csv","96","27.827","81.83","6","7","2","0.186","0.3933"
"7","28","19","19","4","social_smac","aborted","2","experiment_results_v3.csv","97","22.528","86.5","8","9","7","0.065","0.2582"
"7","29","20","20","1","social_smac","succeeded","0","experiment_results_v3.csv","98","45.455","148.48","16","18","3","0.051","0.4228"
"8","1","1","1","1","social_dstar","succeeded","0","social_4groups_headless_10.csv","41","36.333","87.54","6","10","4","0.023","0.2633"
"8","2","2","2","2","social_dstar","succeeded","0","social_4groups_headless_10.csv","42","36.758","95.84","7","11","7","0.043","0.3009"
"8","3","3","3","3","social_dstar","succeeded","0","social_4groups_headless_10.csv","43","37.553","403.79","33","40","53","0.036","0.1622"
"8","4","4","4","4","social_dstar","succeeded","0","social_4groups_headless_10.csv","44","36.417","103.86","5","8","7","0.249","0.1951"
"8","5","5","5","5","social_dstar","succeeded","0","social_4groups_headless_10.csv","45","36.448","92.48","7","10","6","0.145","0.296"
"8","6","6","6","6","social_dstar","succeeded","0","social_4groups_headless_10.csv","46","36.579","93.91","8","11","5","0.066","0.2141"
"8","7","7","7","7","social_dstar","succeeded","0","social_4groups_headless_10.csv","47","36.785","94.38","8","11","5","0.29","0.2231"
"8","8","8","8","8","social_dstar","succeeded","0","social_4groups_headless_10.csv","48","40.493","104.82","8","11","16","0.072","0.2884"
"8","9","9","9","9","social_dstar","succeeded","0","social_4groups_headless_10.csv","49","36.857","104.93","7","12","2","0.3","0.2015"
"8","10","10","10","10","social_dstar","aborted","0","social_4groups_headless_10.csv","50","29.661","90.74","12","11","6","0.03","0.3136"
"8","11","10","10","10","social_dstar","timeout","1","social_4groups_headless_10.csv","51","39.699","450.63","31","36","2","0.094","0.1174"
"8","12","11","11","1","social_dstar","succeeded","0","experiment_results_v3.csv","73","39.952","109.73","10","12","5","0.186","0.2596"
"8","13","12","12","2","social_dstar","succeeded","0","experiment_results_v3.csv","74","36.415","86.55","7","10","4","0.106","0.2147"
"8","14","13","13","3","social_dstar","succeeded","0","experiment_results_v3.csv","75","39.477","100.81","6","7","2","0.151","0.229"
"8","15","14","14","4","social_dstar","aborted","0","experiment_results_v3.csv","76","39.138","127.23","11","10","2","0.134","0.2647"
"8","16","14","14","4","social_dstar","succeeded","1","experiment_results_v3.csv","77","39.615","118.07","10","10","5","0.067","0.3013"
"8","17","15","15","5","social_dstar","succeeded","0","experiment_results_v3.csv","78","37.937","138.68","10","12","7","0.14","0.1987"
"8","18","16","16","1","social_dstar","succeeded","0","experiment_results_v3.csv","100","39.588","112.58","12","14","4","0.149","0.2549"
"8","19","17","17","2","social_dstar","succeeded","0","experiment_results_v3.csv","101","36.086","86.8","6","11","6","0.166","0.2478"
"8","20","18","18","3","social_dstar","succeeded","0","experiment_results_v3.csv","102","36.351","116.17","4","11","3","0.107","0.2346"
"8","21","19","19","4","social_dstar","succeeded","0","experiment_results_v3.csv","103","37.384","349.45","7","16","4","0.228","0.1367"
"8","22","20","20","5","social_dstar","succeeded","0","experiment_results_v3.csv","104","36.636","92.05","7","9","5","0.04","0.2505"
"9","1","1","1","1","social_dstar_plus","timeout","0","experiment_results_v3.csv","111","50.296","450.59","27","31","14","0.042","0.2241"
"9","2","2","2","2","social_dstar_plus","succeeded","0","experiment_results_v3.csv","112","36.484","96.22","8","14","1","0.062","0.2432"
"9","3","3","3","3","social_dstar_plus","succeeded","0","experiment_results_v3.csv","113","51.481","395.27","42","47","6","0.037","0.1888"
"9","4","4","4","4","social_dstar_plus","succeeded","0","experiment_results_v3.csv","114","36.478","104.87","7","11","2","0.168","0.2214"
"9","5","5","5","5","social_dstar_plus","succeeded","0","experiment_results_v3.csv","115","37.084","101.03","6","8","2","0.296","0.2512"
"9","6","6","6","6","social_dstar_plus","succeeded","0","experiment_results_v3.csv","116","37.958","100.66","6","9","3","0.231","0.2428"
"9","7","7","7","7","social_dstar_plus","succeeded","0","experiment_results_v3.csv","117","43.291","110.62","8","10","2","0.332","0.2308"
"9","8","8","8","8","social_dstar_plus","succeeded","0","experiment_results_v3.csv","118","38.878","100.46","6","8","0","0.505","0.204"
"9","9","9","9","9","social_dstar_plus","succeeded","0","experiment_results_v3.csv","119","36.655","106.35","6","11","2","0.331","0.1989"
"9","10","10","10","10","social_dstar_plus","succeeded","0","experiment_results_v3.csv","120","36.634","101.84","7","8","5","0.227","0.2212"
"9","11","11","11","11","social_dstar_plus","succeeded","0","experiment_results_v3.csv","121","36.79","101.06","6","8","1","0.366","0.2506"
"9","12","12","12","12","social_dstar_plus","succeeded","0","experiment_results_v3.csv","122","41.725","114.55","7","10","2","0.042","0.2194"
"9","13","13","13","13","social_dstar_plus","succeeded","0","experiment_results_v3.csv","123","38.299","101.88","6","8","2","0.252","0.2002"
