"experiment","mode","result","attempt","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration","source"
"11","social_dstar","succeeded","0","39.952","109.73","10","12","5","0.186","0.2596","experiment_results_v3.csv"
"12","social_dstar","succeeded","0","36.415","86.55","7","10","4","0.106","0.2147","experiment_results_v3.csv"
"13","social_dstar","succeeded","0","39.477","100.81","6","7","2","0.151","0.229","experiment_results_v3.csv"
"14","social_dstar","aborted","0","39.138","127.23","11","10","2","0.134","0.2647","experiment_results_v3.csv"
"14","social_dstar","succeeded","1","39.615","118.07","10","10","5","0.067","0.3013","experiment_results_v3.csv"
"15","social_dstar","succeeded","0","37.937","138.68","10","12","7","0.14","0.1987","experiment_results_v3.csv"
"16","social_dstar","succeeded","0","39.588","112.58","12","14","4","0.149","0.2549","experiment_results_v3.csv"
"17","social_dstar","succeeded","0","36.086","86.8","6","11","6","0.166","0.2478","experiment_results_v3.csv"
"18","social_dstar","succeeded","0","36.351","116.17","4","11","3","0.107","0.2346","experiment_results_v3.csv"
"19","social_dstar","succeeded","0","37.384","349.45","7","16","4","0.228","0.1367","experiment_results_v3.csv"
"20","social_dstar","succeeded","0","36.636","92.05","7","9","5","0.04","0.2505","experiment_results_v3.csv"
"1","social_dstar_plus","timeout","0","50.296","450.59","27","31","14","0.042","0.2241","experiment_results_v3.csv"
"2","social_dstar_plus","succeeded","0","36.484","96.22","8","14","1","0.062","0.2432","experiment_results_v3.csv"
"3","social_dstar_plus","succeeded","0","51.481","395.27","42","47","6","0.037","0.1888","experiment_results_v3.csv"
"4","social_dstar_plus","succeeded","0","36.478","104.87","7","11","2","0.168","0.2214","experiment_results_v3.csv"
"5","social_dstar_plus","succeeded","0","37.084","101.03","6","8","2","0.296","0.2512","experiment_results_v3.csv"
"6","social_dstar_plus","succeeded","0","37.958","100.66","6","9","3","0.231","0.2428","experiment_results_v3.csv"
"7","social_dstar_plus","succeeded","0","43.291","110.62","8","10","2","0.332","0.2308","experiment_results_v3.csv"
"8","social_dstar_plus","succeeded","0","38.878","100.46","6","8","0","0.505","0.204","experiment_results_v3.csv"
"9","social_dstar_plus","succeeded","0","36.655","106.35","6","11","2","0.331","0.1989","experiment_results_v3.csv"
"10","social_dstar_plus","succeeded","0","36.634","101.84","7","8","5","0.227","0.2212","experiment_results_v3.csv"
"11","social_dstar_plus","succeeded","0","36.79","101.06","6","8","1","0.366","0.2506","experiment_results_v3.csv"
"12","social_dstar_plus","succeeded","0","41.725","114.55","7","10","2","0.042","0.2194","experiment_results_v3.csv"
"13","social_dstar_plus","succeeded","0","38.299","101.88","6","8","2","0.252","0.2002","experiment_results_v3.csv"
"14","social_dstar_plus","aborted","0","28.061","71.77","8","11","4","0.001","0.2467","experiment_results_v3.csv"
"14","social_dstar_plus","succeeded","1","36.388","102.65","6","12","4","0.031","0.2358","experiment_results_v3.csv"
"15","social_dstar_plus","aborted","0","30.84","389.31","33","48","43","0.065","0.1449","experiment_results_v3.csv"
"15","social_dstar_plus","succeeded","1","37.012","99.77","6","12","3","0.085","0.2018","experiment_results_v3.csv"
"16","social_dstar_plus","succeeded","0","36.92","101.17","7","8","2","0.21","0.2064","experiment_results_v3.csv"
"17","social_dstar_plus","succeeded","0","36.273","88.17","8","9","3","0.02","0.3295","experiment_results_v3.csv"
"18","social_dstar_plus","succeeded","0","36.132","89.55","7","10","4","0.069","0.2911","experiment_results_v3.csv"
"19","social_dstar_plus","succeeded","0","36.247","89.76","7","9","4","0.018","0.312","experiment_results_v3.csv"
"20","social_dstar_plus","succeeded","0","36.507","87.47","9","9","1","0.096","0.3257","experiment_results_v3.csv"
